m,k,nodes,edges,girth,is_bipartite,spectral_asymmetry,diameter,radius,graph_energy,lambda_max,lambda_min,algebraic_connectivity,avg_clustering_coeff,avg_shortest_path
5,9,110,165,5,False,0.027127332955871886,21,11,171.95560361715252,2.9999999999999964,-2.9728726670441246,0.02712733295588292,0.0,8.007506255212677
5,10,120,180,5,False,0.022802776913126266,23,12,187.70853284884163,3.000000000000012,-2.9771972230868857,0.02280277691311177,0.0,8.631652661064425
5,11,130,195,5,False,0.01943507540865319,25,13,203.46143610741504,3.0000000000000044,-2.9805649245913513,0.019435075408653867,0.0,9.261180679785332
5,12,140,210,5,False,0.01676155013927616,27,14,219.2143297419547,2.999999999999989,-2.9832384498607127,0.01676155013929297,0.0,9.895169578622816
5,13,150,225,5,False,0.014603811395343946,29,15,234.96721980302362,2.9999999999999893,-2.9853961886046454,0.014603811395340172,0.0,10.532885906040269
5,14,160,240,5,False,0.012837279019950909,31,16,250.72010853490656,2.9999999999999987,-2.9871627209800478,0.012837279019944857,0.0,11.17374213836478
5,15,170,255,5,False,0.011372823730668724,33,17,266.4729967716351,2.9999999999999982,-2.9886271762693295,0.011372823730666587,0.0,11.81726418378002
5,16,180,270,5,False,0.01014531924227935,35,18,282.22588482366075,2.9999999999999964,-2.989854680757717,0.010145319242283372,0.0,12.46306641837368
5,17,190,285,5,False,0.009106285136341707,37,19,297.9787728067075,3.000000000000006,-2.9908937148636645,0.009106285136352262,0.0,13.110832637148427
5,18,200,300,5,False,0.008219031683544209,39,20,313.7316607639657,3.0000000000000036,-2.9917809683164593,0.008219031683550218,0.0,13.760301507537688
5,19,210,315,5,False,0.0074553796308096665,41,21,329.4845487115731,3.0000000000000013,-2.9925446203691917,0.007455379630821125,0.0,14.41125541125541
5,20,220,330,5,False,0.0067933971201008525,43,22,345.2374366555664,2.99999999999999,-2.993206602879889,0.0067933971201196135,0.0,15.063511830635118
5,21,230,345,5,False,0.0062158086887262876,45,23,360.99032459820467,2.999999999999997,-2.9937841913112706,0.0062158086887244895,0.0,15.716916650844883
5,22,240,360,5,False,0.005708857593295313,47,24,376.74321254033464,2.9999999999999925,-2.994291142406697,0.005708857593300051,0.0,16.37133891213389
5,23,250,375,5,False,0.00526147965169077,49,25,392.4961004822742,3.000000000000001,-2.99473852034831,0.0052614796517000025,0.0,17.026666666666667
5,24,260,390,5,False,0.004864694810571724,51,26,408.24898842414194,2.999999999999997,-2.995135305189425,0.004864694810564125,0.0,17.682803682803684
5,25,270,405,5,False,0.004511153255974953,53,27,424.0018763659829,2.9999999999999996,-2.9954888467440246,0.004511153255986771,0.0,18.33966680435082
5,26,280,420,5,False,0.004194792785593204,55,28,439.7547643078137,3.0000000000000053,-2.995805207214412,0.004194792785588015,0.0,18.997183819764466
5,27,290,435,5,False,0.003910577332926657,57,29,455.5076522496404,2.999999999999994,-2.996089422667067,0.00391057733293571,0.0,19.65529173129698
5,28,300,450,5,False,0.003654295400304264,59,30,471.260540191466,3.000000000000003,-2.996345704599699,0.003654295400301425,0.0,20.313935340022297
5,29,310,465,5,False,0.0034224032127054826,61,31,487.01342813329074,2.9999999999999996,-2.996577596787294,0.003422403212700067,0.0,20.973066082054494
5,30,320,480,5,False,0.0032119016038385517,63,32,502.76631607511524,2.9999999999999916,-2.996788098396153,0.0032119016038580635,0.0,21.63264106583072
5,31,330,495,5,False,0.0030202385914779306,65,33,518.5192040169402,3.0000000000000044,-2.9969797614085265,0.003020238591457615,0.0,22.292622271345675
